ID,Beer,Bitter,Sød,Citrus,Syrlig,Bær,Frugtig,Kraftig,Krydret,Røget,Tung,Rund,Vandet,Gæret,Skarp,Lakrids,Karamel,Chokolade,Tør,Gran,Eftersmag,Nøddeagtig,Mild,Harmonisk,Aroma,Normal,Kaffe,Humlet,Cider,Værtshus,Spiritus,Sprittet,Brændt,Rugbrød,Olie,Rengøringsmiddel,"Syntetisk ",Sodavand,Brus,Maltede,Kompleks,Hav,Blomst
ID_7038_38_14__10_29_11,Sebastian,1,0,0,3,5,1,4,3,2,2,2,3,1,0,1,3,1,0,5,2,1,4,5,4,3,5,1,4,3,3,1,6,4,2,3,5,2,3,4,5,4,0
ID_7038_38_14__10_29_11,Amigo,4,4,4,3,1,0,6,2,1,5,4,3,4,5,4,2,1,1,1,1,5,5,4,1,5,5,2,1,5,4,4,2,5,1,2,1,5,5,0,1,4,0
